,Emoji,CountBefore,CountAfter
0,💸,183.0,54.0
1,😭,3313.0,263.0
2,🔨,77.0,71.0
3,💉,96.0,96.0
4,😒,1620.0,175.0
5,👮,64.0,37.0
6,🔪,1674.0,2489.0
7,😰,87.0,5.0
8,🏀,15.0,8.0
9,😂,4258.0,683.0
10,😞,300.0,23.0
11,🙀,23.0,3.0
12,😪,207.0,13.0
13,😤,310.0,61.0
14,🌈,6.0,
15,😊,1887.0,86.0
16,😩,1162.0,78.0
17,💰,128.0,126.0
18,😌,196.0,22.0
19,😥,197.0,6.0
20,😃,229.0,4.0
21,🐷,61.0,1.0
22,🍔,4.0,2.0
23,😔,792.0,46.0
24,🚬,222.0,237.0
25,😡,628.0,114.0
26,😐,613.0,42.0
27,😓,275.0,22.0
28,💥,1327.0,295.0
29,👅,20.0,15.0
30,💀,552.0,142.0
31,🏼,204.0,
32,😍,636.0,63.0
33,👊,556.0,314.0
34,🚗,16.0,28.0
35,🏾,112.0,
36,❤,171.0,134.0
37,💕,111.0,155.0
38,😖,252.0,22.0
39,😅,938.0,32.0
40,💣,1161.0,1216.0
41,🏇,5.0,4.0
42,😀,568.0,11.0
43,💔,315.0,231.0
44,☺,347.0,37.0
45,😁,383.0,47.0
46,😢,362.0,25.0
47,😎,205.0,122.0
48,👗,2.0,
49,😑,771.0,54.0
50,💯,187.0,163.0
51,💊,56.0,78.0
52,👸,23.0,15.0
53,🔥,230.0,216.0
54,😷,200.0,30.0
55,🌵,46.0,33.0
56,🏻,275.0,
57,😵,252.0,11.0
58,😫,344.0,21.0
59,🙈,182.0,36.0
60,👏,50.0,37.0
61,😳,260.0,29.0
62,😠,317.0,60.0
63,😶,197.0,14.0
64,😣,373.0,22.0
65,💞,43.0,9.0
66,🍸,4.0,4.0
67,😇,79.0,87.0
68,😱,216.0,19.0
69,💜,48.0,54.0
70,😻,35.0,9.0
71,❌,64.0,73.0
72,🏽,168.0,
73,🌎,9.0,1.0
74,😹,73.0,16.0
75,🌚,212.0,86.0
76,😘,52.0,30.0
77,👧,82.0,6.0
78,😴,166.0,35.0
79,💿,19.0,4.0
80,👀,78.0,22.0
81,😝,61.0,5.0
82,💇,4.0,3.0
83,🐍,18.0,7.0
84,😜,44.0,22.0
85,😦,45.0,2.0
86,😬,216.0,16.0
87,🙋,80.0,5.0
88,🔎,3.0,3.0
89,💓,52.0,35.0
90,😄,326.0,9.0
91,❔,1.0,
92,👿,68.0,38.0
93,😏,171.0,62.0
94,🚫,23.0,29.0
95,💙,51.0,30.0
96,🙎,20.0,4.0
97,💲,22.0,14.0
98,😆,97.0,13.0
99,💢,37.0,19.0
100,🍑,4.0,21.0
101,👌,151.0,101.0
102,🍊,38.0,6.0
103,🌸,10.0,2.0
104,🐜,8.0,3.0
105,😨,93.0,9.0
106,💏,15.0,2.0
107,👉,12.0,11.0
108,🎤,23.0,11.0
109,💵,23.0,15.0
110,👽,57.0,19.0
111,😚,8.0,4.0
112,🎃,7.0,1.0
113,🙍,67.0,9.0
114,😕,181.0,16.0
115,✋,74.0,37.0
116,👇,11.0,4.0
117,🙉,21.0,2.0
118,🌹,25.0,41.0
119,🐼,14.0,1.0
120,🎶,83.0,64.0
121,👍,36.0,39.0
122,🚶,37.0,54.0
123,🐧,49.0,4.0
124,👴,9.0,1.0
125,💁,32.0,19.0
126,📖,12.0,6.0
127,💤,6.0,10.0
128,🍀,7.0,3.0
129,💦,76.0,25.0
130,🌍,4.0,3.0
131,🐓,69.0,1.0
132,👐,7.0,8.0
133,🌞,20.0,10.0
134,🙅,63.0,21.0
135,😸,9.0,2.0
136,🐮,20.0,1.0
137,🏁,8.0,
138,🍒,6.0,1.0
139,🙇,40.0,6.0
140,🚨,10.0,11.0
141,👺,10.0,2.0
142,🐳,3.0,1.0
143,👎,149.0,72.0
144,🙆,29.0,5.0
145,🎀,3.0,4.0
146,🐝,10.0,
147,🙌,44.0,22.0
148,👥,2.0,
149,😈,208.0,128.0
150,😿,18.0,5.0
151,🎯,13.0,6.0
152,🔸,35.0,
153,👼,4.0,15.0
154,💋,47.0,40.0
155,🎇,2.0,
156,👩,94.0,14.0
157,🏃,31.0,35.0
158,😯,17.0,2.0
159,👠,27.0,27.0
160,💗,106.0,63.0
161,👄,10.0,3.0
162,👑,29.0,13.0
163,🐸,14.0,4.0
164,🐀,14.0,
165,🐤,13.0,3.0
166,👦,36.0,10.0
167,🚑,7.0,4.0
168,🚹,5.0,
169,💨,61.0,80.0
170,🐈,3.0,1.0
171,✖,6.0,13.0
172,😋,24.0,5.0
173,🐩,6.0,
174,🙊,82.0,24.0
175,🔌,29.0,10.0
176,🌝,35.0,11.0
177,🎩,15.0,1.0
178,🐰,13.0,1.0
179,💪,78.0,63.0
180,👆,4.0,5.0
181,♥,23.0,6.0
182,🐒,15.0,1.0
183,🍢,1.0,
184,😟,84.0,7.0
185,🐇,3.0,2.0
186,😉,52.0,31.0
187,😛,21.0,10.0
188,💟,23.0,10.0
189,🐴,6.0,2.0
190,😼,8.0,2.0
191,💘,95.0,67.0
192,✌,31.0,54.0
193,😧,57.0,3.0
194,🙏,29.0,31.0
195,⏰,16.0,
196,📃,1.0,
197,📲,15.0,
198,🏿,68.0,
199,👷,2.0,
200,😲,252.0,9.0
201,💩,59.0,26.0
202,📚,42.0,27.0
203,😮,29.0,2.0
204,💎,22.0,7.0
205,📱,28.0,7.0
206,🍆,8.0,2.0
207,🔕,1.0,3.0
208,😺,12.0,
209,👙,3.0,2.0
210,👂,4.0,4.0
211,💂,34.0,49.0
212,💆,13.0,9.0
213,💄,27.0,24.0
214,🌏,3.0,
215,🍺,9.0,6.0
216,👋,27.0,42.0
217,⚾,2.0,2.0
218,👈,20.0,27.0
219,👶,12.0,4.0
220,🔙,4.0,1.0
221,✅,6.0,19.0
222,🎮,57.0,8.0
223,👨,37.0,8.0
224,🐖,10.0,1.0
225,💡,4.0,1.0
226,🔐,28.0,3.0
227,🐶,44.0,14.0
228,🎈,6.0,5.0
229,🎧,13.0,16.0
230,🐛,2.0,1.0
231,👒,2.0,
232,🎁,4.0,1.0
233,🎉,19.0,30.0
234,🏩,4.0,
235,💍,9.0,4.0
236,🚘,5.0,9.0
237,📷,9.0,4.0
238,📞,2.0,
239,🐟,3.0,1.0
240,💭,21.0,25.0
241,😗,5.0,2.0
242,🌟,31.0,1.0
243,🌴,10.0,4.0
244,🎭,12.0,5.0
245,👳,12.0,5.0
246,☁,2.0,6.0
247,🏈,6.0,6.0
248,🚙,4.0,7.0
249,🐏,9.0,1.0
250,🏢,4.0,
251,🔩,4.0,6.0
252,🐫,1.0,
253,🐔,36.0,4.0
254,👤,14.0,1.0
255,💅,4.0,5.0
256,🚵,1.0,
257,🎒,1.0,
258,🚔,10.0,5.0
259,👰,7.0,1.0
260,💒,4.0,
261,🎵,17.0,10.0
262,⚡,4.0,11.0
263,🎳,3.0,
264,👻,36.0,24.0
265,🍁,7.0,3.0
266,👹,14.0,12.0
267,♦,1.0,1.0
268,🎺,2.0,
269,🗿,14.0,6.0
270,🃏,1.0,2.0
271,✂,9.0,15.0
272,👭,3.0,8.0
273,🎲,2.0,2.0
274,🚪,2.0,3.0
275,😾,24.0,2.0
276,🍼,2.0,27.0
277,✏,1.0,3.0
278,🐥,11.0,1.0
279,🔧,9.0,7.0
280,👬,5.0,4.0
281,🍃,19.0,6.0
282,🚓,8.0,32.0
283,👵,5.0,2.0
284,💃,22.0,15.0
285,👫,16.0,7.0
286,💑,8.0,
287,☝,1.0,3.0
288,⚪,3.0,
289,🐣,20.0,2.0
290,🍕,5.0,15.0
291,👣,6.0,1.0
292,📏,2.0,1.0
293,🐄,2.0,
294,⭐,2.0,1.0
295,🌠,2.0,1.0
296,💻,5.0,1.0
297,🌛,2.0,1.0
298,👯,18.0,6.0
299,🐭,1.0,
300,🍻,10.0,11.0
301,⚽,2.0,13.0
302,⌚,2.0,1.0
303,🚀,5.0,7.0
304,📝,7.0,3.0
305,🔝,10.0,5.0
306,🚌,2.0,1.0
307,🐬,2.0,
308,🍋,5.0,1.0
309,⛪,1.0,
310,✊,13.0,14.0
311,🐗,7.0,
312,🆙,1.0,1.0
313,✨,25.0,19.0
314,©,1.0,2.0
315,🐱,9.0,12.0
316,🚆,2.0,
317,☀,2.0,7.0
318,❗,2.0,7.0
319,🌅,1.0,1.0
320,🎬,8.0,10.0
321,🎆,5.0,1.0
322,🎌,1.0,1.0
323,💛,12.0,9.0
324,💖,16.0,21.0
325,🔊,2.0,10.0
326,🌿,4.0,9.0
327,👱,13.0,2.0
328,👓,8.0,1.0
329,🔞,12.0,82.0
330,🅱,1.0,
331,🚩,1.0,2.0
332,🎰,1.0,
333,🐘,2.0,4.0
334,📪,1.0,
335,🔴,5.0,8.0
336,🍌,3.0,2.0
337,🐉,1.0,1.0
338,📺,17.0,4.0
339,☹,2.0,
340,❎,1.0,1.0
341,🐑,4.0,1.0
342,💬,2.0,4.0
343,👲,4.0,1.0
344,🐋,3.0,
345,🐎,7.0,3.0
346,✴,3.0,
347,💳,5.0,1.0
348,🐞,4.0,
349,🍷,4.0,4.0
350,📌,3.0,3.0
351,🍰,2.0,1.0
352,🚊,1.0,
353,🔽,1.0,
354,🍩,3.0,1.0
355,🐻,15.0,4.0
356,🍎,1.0,
357,💱,6.0,3.0
358,🍴,4.0,2.0
359,⛔,2.0,2.0
360,🎂,2.0,1.0
361,👢,3.0,
362,🔒,3.0,3.0
363,🐺,4.0,3.0
364,🍗,1.0,
365,🐌,2.0,2.0
366,🏆,3.0,2.0
367,👡,2.0,3.0
368,🌂,1.0,
369,💹,2.0,
370,🎎,1.0,
371,🏥,1.0,1.0
372,📹,2.0,2.0
373,🎊,3.0,2.0
374,💚,9.0,7.0
375,🌋,2.0,3.0
376,👪,1.0,
377,🔵,2.0,1.0
378,🎿,2.0,1.0
379,🐦,14.0,2.0
380,🍇,2.0,
381,💐,13.0,
382,🐠,3.0,
383,📀,3.0,2.0
384,👞,5.0,
385,🚽,3.0,2.0
386,🔮,2.0,5.0
387,🚭,2.0,
388,🐵,3.0,
389,➿,1.0,
390,🚦,1.0,
391,🎅,3.0,
392,🎥,23.0,8.0
393,😙,1.0,2.0
394,💽,1.0,
395,🚿,1.0,2.0
396,🏫,2.0,
397,🅰,4.0,3.0
398,🎱,5.0,3.0
399,♉,1.0,
400,🍤,1.0,
401,🐐,2.0,2.0
402,🛀,2.0,2.0
403,🗻,1.0,
404,🐁,2.0,
405,🐲,1.0,
406,📉,1.0,
407,🍶,1.0,
408,🔦,4.0,1.0
409,📓,3.0,2.0
410,📟,2.0,
411,❕,1.0,2.0
412,🚎,1.0,
413,🔚,5.0,3.0
414,🌆,1.0,
415,🏧,1.0,
416,☔,2.0,7.0
417,🆘,4.0,14.0
418,🚺,1.0,
419,⛄,2.0,2.0
420,🌀,3.0,1.0
421,➰,2.0,
422,🍉,2.0,
423,❄,3.0,4.0
424,🐙,1.0,5.0
425,👾,5.0,6.0
426,🔰,1.0,1.0
427,🍓,1.0,1.0
428,💮,2.0,
429,📈,1.0,4.0
430,🎸,5.0,3.0
431,🏊,2.0,1.0
432,🍄,2.0,
433,🌜,2.0,
434,💼,2.0,5.0
435,🎼,2.0,1.0
436,🔋,3.0,1.0
437,💴,1.0,3.0
438,🔓,3.0,1.0
439,💫,4.0,8.0
440,🌊,3.0,6.0
441,🍙,3.0,1.0
442,🍜,1.0,
443,🐢,8.0,2.0
444,👕,1.0,
445,💝,4.0,2.0
446,🚖,2.0,
447,🐊,2.0,
448,🍣,1.0,
449,👟,6.0,3.0
450,🐽,2.0,1.0
451,🚄,1.0,2.0
452,🆖,2.0,
453,🎓,5.0,2.0
454,👃,5.0,1.0
455,🐨,3.0,1.0
456,🍫,2.0,
457,🔑,1.0,7.0
458,☃,1.0,
459,🗽,2.0,1.0
460,📻,1.0,
461,📢,3.0,
462,✈,2.0,5.0
463,🔬,4.0,1.0
464,🌑,2.0,2.0
465,🕒,1.0,
466,🐹,3.0,1.0
467,🏤,1.0,1.0
468,🔗,1.0,
469,🚂,1.0,3.0
470,🌃,1.0,
471,👖,1.0,1.0
472,🚁,1.0,12.0
473,✔,1.0,7.0
474,♂,1.0,
475,⚫,2.0,3.0
476,™,2.0,
477,🌙,2.0,
478,📊,1.0,
479,💶,2.0,3.0
480,⛽,1.0,21.0
481,📡,2.0,2.0
482,💌,1.0,2.0
483,🔍,2.0,2.0
484,〰,1.0,
485,🎻,1.0,
486,➕,1.0,1.0
487,🔛,1.0,2.0
488,🔱,1.0,3.0
489,⚠,1.0,4.0
490,🐚,1.0,1.0
491,🌻,1.0,2.0
492,📍,1.0,
493,🚲,2.0,1.0
494,📼,1.0,1.0
495,🏡,2.0,
496,👛,1.0,5.0
497,💺,1.0,
498,🆗,1.0,5.0
499,📎,1.0,
500,🚮,1.0,1.0
501,🚞,1.0,
502,🐂,1.0,
503,🐅,1.0,
504,➡,1.0,2.0
505,🌷,1.0,1.0
506,🍥,2.0,
507,📴,1.0,1.0
508,🍭,1.0,
509,⬅,1.0,1.0
510,⏳,1.0,2.0
511,🍦,1.0,1.0
512,💷,1.0,6.0
513,📒,2.0,
514,🍲,1.0,
515,👚,1.0,
516,🐯,1.0,4.0
517,🍏,1.0,
518,📙,1.0,
519,🍟,1.0,1.0
520,🔫,,8988.0
521,🌺,,2.0
522,🍨,,1.0
523,➖,,1.0
524,🎹,,2.0
525,〽,,1.0
526,📣,,5.0
527,⤵,,1.0
528,💧,,2.0
529,🚷,,4.0
530,🎣,,2.0
531,🐪,,21.0
532,🍪,,1.0
533,⬆,,3.0
534,♿,,1.0
535,♑,,1.0
536,📶,,2.0
537,🚢,,2.0
538,🚤,,1.0
539,🎢,,1.0
540,📥,,1.0
541,‼,,15.0
542,♠,,2.0
543,↔,,1.0
544,✉,,3.0
545,🌲,,1.0
546,⛳,,1.0
547,🎨,,3.0
548,◀,,1.0
549,📰,,2.0
550,🚕,,2.0
551,🚚,,1.0
552,☑,,41.0
553,🌾,,2.0
554,🌌,,1.0
555,🌇,,1.0
556,🚜,,1.0
557,♻,,1.0
558,🆒,,3.0
559,🌱,,1.0
560,🔘,,1.0
561,🚐,,1.0
562,🏦,,1.0
563,📛,,1.0
564,☕,,4.0
565,⚓,,1.0
566,🛁,,1.0
567,🔭,,1.0
568,👝,,1.0
569,🍂,,1.0
570,🔯,,2.0
571,📦,,9.0
572,⏫,,1.0
573,⬇,,1.0
574,📵,,1.0
575,🌼,,1.0
576,🍅,,4.0
577,🚅,,1.0
578,🍞,,1.0
579,❓,,1.0
580,🍚,,1.0
581,🔶,,1.0
582,📇,,1.0
583,🎷,,1.0
584,🚻,,1.0
585,🚣,,2.0
586,🏠,,1.0
587,✒,,1.0
588,📬,,1.0
589,👔,,1.0
590,📗,,1.0
591,🔔,,1.0
592,🏂,,1.0
593,⛏,,1.0
594,🐾,,1.0
595,🕜,,1.0
596,🚒,,1.0
597,↘,,1.0
598,🔜,,2.0
599,🚥,,1.0
600,🚯,,1.0
601,🐕,,1.0
602,👜,,1.0
603,🏉,,1.0
604,🎫,,1.0
605,🔖,,2.0
606,🗾,,1.0
607,📑,,1.0
608,🕘,,1.0
